"star_id","const_id"
17608,"macedonian-002"
17608,"navajo-005"
17608,"ojibwe-010"
17608,"romanian-Ccp"
17608,"sardinian-002"
17608,"siberian-DNe"
17608,"tukano-006"
17608,"tupi-006"
17651,"arabic-025"
17651,"chinese-253"
17651,"korean-145"
17651,"western-Eri"
17664,"aztec-002"
17664,"boorong-Lnk"
17664,"siberian-DNe"
17678,"boorong-Ktc"
17678,"chinese-076"
17678,"western-Hyi"
17702,"belarusian-003"
17702,"boorong-Lnk"
17702,"chinese-015"
17702,"dakota-010"
17702,"dakota-011"
17702,"dakota-012"
17702,"egyptian-018"
17702,"indian-N03"
17702,"inuit-008"
17702,"japanese_moon_stations-18"
17702,"korean-124"
17702,"macedonian-002"
17702,"navajo-005"
17702,"ojibwe-010"
17702,"romanian-Ccp"
17702,"sami-008"
17702,"sardinian-002"
17702,"tukano-006"
17702,"tupi-006"
17717,"chinese-253"
17772,"tukano-005"
17776,"boorong-Lnk"
17797,"arabic-025"
17797,"chinese-252"
17797,"korean-129"
17797,"western-Eri"
17847,"arabic-042"
17847,"arabic_moon_stations-003"
17847,"aztec-002"
17847,"belarusian-003"
17847,"boorong-Lnk"
17847,"chinese-015"
17847,"dakota-010"
17847,"dakota-011"
17847,"egyptian-018"
17847,"indian-N03"
17847,"inuit-008"
17847,"korean-124"
17847,"macedonian-002"
17847,"navajo-005"
17847,"ojibwe-010"
17847,"romanian-Ccp"
17847,"sardinian-002"
17847,"siberian-DNe"
17847,"tukano-006"
17847,"tupi-002"
17847,"tupi-006"
17847,"western-Tau"
17851,"boorong-Lnk"
17851,"egyptian-018"
17851,"indian-N03"
17851,"inuit-008"
17851,"navajo-005"
17851,"sardinian-002"
17851,"siberian-DNe"
17874,"arabic-025"
17874,"chinese-252"
17874,"korean-129"
17874,"western-Eri"
17886,"chinese-211"
17886,"korean-123"
17900,"boorong-Lnk"
17954,"korean-136"
17959,"chinese-080"
17959,"western-Cam"
18216,"chinese-253"
18216,"korean-145"
18246,"arabic-036"
18246,"boorong-Pur"
18246,"chinese-122"
18246,"korean-122"
18246,"romanian-Bar"
18246,"sami-001"
18246,"sardinian-008"
18246,"western-Per"
18396,"tukano-005"
18453,"tukano-005"
18505,"western-Cam"
18532,"arabic-036"
18532,"chinese-122"
18532,"korean-122"
18532,"macedonian-006"
18532,"romanian-Bar"
18532,"sami-001"
18532,"sardinian-008"
18532,"western-Per"
18543,"chinese-253"
18543,"korean-145"
18597,"western-Ret"
18614,"arabic-036"
18614,"boorong-Pur"
18614,"chinese-122"
18614,"egyptian-006"
18614,"korean-122"
18614,"romanian-Bar"
18614,"sardinian-008"
18614,"western-Per"
18673,"chinese-253"
18673,"korean-145"
18724,"arabic-042"
18724,"chinese-001"
18724,"korean-141"
18724,"western-Tau"
19038,"chinese-293"
19038,"korean-125"
19167,"chinese-106"
19167,"egyptian-006"
19167,"korean-115"
19167,"tukano-005"
19171,"korean-136"
19205,"chinese-139"
19343,"chinese-213"
19343,"korean-114"
19343,"tukano-005"
19461,"chinese-267"
19513,"chinese-139"
19587,"chinese-119"
19587,"korean-144"
19719,"korean-127"
19740,"korean-127"
19747,"western-Hor"
19777,"chinese-119"
19780,"chinese-109"
19780,"western-Ret"
19799,"korean-127"
19811,"boorong-Pur"
19812,"chinese-213"
19812,"egyptian-006"
19812,"korean-114"
19812,"tukano-005"
19849,"korean-144"
19860,"korean-127"
19893,"chinese-113"
19893,"western-Dor"
19921,"western-Ret"
19949,"chinese-213"
19949,"korean-114"
19990,"chinese-230"
19990,"korean-139"
20025,"japanese_moon_stations-19"
20042,"arabic-025"
20042,"chinese-252"
20042,"korean-129"
20042,"western-Eri"
20070,"korean-114"
20070,"tukano-005"
20070,"chinese-213"
20205,"arabic-042"
20205,"arabic_moon_stations-004"
20205,"belarusian-007"
20205,"chinese-001"
20205,"egyptian-022"
20205,"inuit-003"
20205,"japanese_moon_stations-19"
20205,"korean-141"
20205,"macedonian-017"
20205,"maori-005"
20205,"maori-006"
20205,"norse-002"
20205,"romanian-Tau"
20205,"romanian-Vri"
20205,"sardinian-001"
20205,"tongan-004"
20205,"tukano-007"
20205,"tupi-002"
20205,"tupi-007"
20205,"western-Tau"
20219,"chinese-231"
20219,"korean-142"
20250,"chinese-139"
20250,"korean-136"
20354,"korean-121"
20430,"chinese-139"
20430,"korean-136"
20455,"arabic-042"
20455,"arabic_moon_stations-004"
20455,"belarusian-007"
20455,"chinese-001"
20455,"egyptian-022"
20455,"inuit-003"
20455,"japanese_moon_stations-19"
20455,"korean-141"
20455,"macedonian-017"
20455,"maori-005"
20455,"maori-006"
20455,"norse-002"
20455,"romanian-Tau"
20455,"romanian-Vri"
20455,"sardinian-001"
20455,"tongan-004"
20455,"tukano-007"
20455,"tupi-002"
20455,"tupi-007"
20455,"western-Tau"
20507,"chinese-119"
20507,"korean-144"
20522,"chinese-231"
20522,"korean-127"
20535,"arabic-025"
20535,"chinese-252"
20535,"korean-129"
20535,"western-Eri"
20641,"chinese-230"
20648,"arabic-042"
20648,"belarusian-007"
20648,"chinese-001"
20648,"korean-141"
20648,"sardinian-001"
20648,"western-Tau"
20711,"korean-139"
20713,"chinese-001"
20713,"korean-141"
20732,"chinese-231"
20732,"korean-142"
20885,"chinese-001"
20885,"sardinian-001"
20885,"tongan-004"
20885,"tukano-007"
20889,"arabic-042"
20889,"arabic_moon_stations-004"
20889,"belarusian-007"
20889,"chinese-001"
20889,"egyptian-022"
20889,"inuit-003"
20889,"japanese_moon_stations-19"
20889,"korean-141"
20889,"macedonian-017"
20889,"maori-005"
20889,"maori-006"
20889,"norse-002"
20889,"romanian-Tau"
20889,"romanian-Vri"
20889,"sardinian-001"
20889,"tongan-004"
20889,"tukano-007"
20889,"tupi-002"
20889,"tupi-007"
20889,"western-Tau"
20894,"arabic-042"
20894,"arabic_moon_stations-004"
20894,"belarusian-007"
20894,"egyptian-022"
20894,"inuit-003"
20894,"japanese_moon_stations-19"
20894,"maori-005"
20894,"maori-006"
20894,"norse-002"
20894,"romanian-Tau"
20894,"romanian-Vri"
20894,"tupi-002"
20894,"tupi-007"
20894,"western-Tau"
20901,"chinese-231"
20901,"korean-142"
21029,"korean-141"
21060,"western-Cae"
21248,"chinese-252"
21248,"korean-129"
21251,"macedonian-011"
21251,"romanian-Tau"
21251,"romanian-Vri"
